"trimestre","componente","valor_milhoes"
"202103","Despesa de consumo da administração pública",408387
"202104","Despesa de consumo da administração pública",491759
"202201","Despesa de consumo da administração pública",385343
"202202","Despesa de consumo da administração pública",456787
"202203","Despesa de consumo da administração pública",462230
"202204","Despesa de consumo da administração pública",550524
"202301","Despesa de consumo da administração pública",435039
"202302","Despesa de consumo da administração pública",511529
"202303","Despesa de consumo da administração pública",506846
"202304","Despesa de consumo da administração pública",630485
"202401","Despesa de consumo da administração pública",475444
"202402","Despesa de consumo da administração pública",551037
"202403","Despesa de consumo da administração pública",546460
"202404","Despesa de consumo da administração pública",637977
"202501","Despesa de consumo da administração pública",521189
"202502","Despesa de consumo da administração pública",598349
"202503","Despesa de consumo da administração pública",607065
"202504","Despesa de consumo da administração pública",710811
"202601","Despesa de consumo da administração pública",598994
"202602","Despesa de consumo da administração pública",667666
"201901","Formação bruta de capital fixo",263449
"201902","Formação bruta de capital fixo",280716
"201903","Formação bruta de capital fixo",308672
"201904","Formação bruta de capital fixo",290349
"202001","Formação bruta de capital fixo",302015
"202002","Formação bruta de capital fixo",264650
"202003","Formação bruta de capital fixo",316149
"202004","Formação bruta de capital fixo",377414
"202101","Formação bruta de capital fixo",396730
"202102","Formação bruta de capital fixo",383293
"202103","Formação bruta de capital fixo",419005
"202104","Formação bruta de capital fixo",415754
"202201","Formação bruta de capital fixo",410115
"202202","Formação bruta de capital fixo",435559
"202203","Formação bruta de capital fixo",476868
"202204","Formação bruta de capital fixo",471681
"202301","Formação bruta de capital fixo",440153
"202302","Formação bruta de capital fixo",444049
"202303","Formação bruta de capital fixo",454830
"202304","Formação bruta de capital fixo",456877
"202401","Formação bruta de capital fixo",458641
"202402","Formação bruta de capital fixo",482720
"202403","Formação bruta de capital fixo",524523
"202404","Formação bruta de capital fixo",525913
"202501","Formação bruta de capital fixo",530908
"202502","Formação bruta de capital fixo",530091
"202503","Formação bruta de capital fixo",558726
"202504","Formação bruta de capital fixo",525325
"202601","Formação bruta de capital fixo",535207
"202602","Formação bruta de capital fixo",552092
"201901","Variação de estoque",19790
"201902","Variação de estoque",1980
"201903","Variação de estoque",20809
"201904","Variação de estoque",-39209
"202001","Variação de estoque",48642
"202002","Variação de estoque",-8502
"202003","Variação de estoque",-5508
"202004","Variação de estoque",-68511
"202101","Variação de estoque",161381
"202102","Variação de estoque",13019
"202103","Variação de estoque",13361
"202104","Variação de estoque",-43203
"202201","Variação de estoque",53453
"202202","Variação de estoque",19318
"202203","Variação de estoque",35057
"202204","Variação de estoque",-78817
"202301","Variação de estoque",37971
"202302","Variação de estoque",-578
"202303","Variação de estoque",-10109
"202304","Variação de estoque",-98451
"202401","Variação de estoque",26433
"202402","Variação de estoque",28740
"202403","Variação de estoque",21925
"202404","Variação de estoque",-68608
"202501","Variação de estoque",75911
"202502","Variação de estoque",51496
"202503","Variação de estoque",16607
"202504","Variação de estoque",-113828
"202601","Variação de estoque",73060
"202602","Variação de estoque",51550
"201901","Exportação de bens e serviços",230569
"201902","Exportação de bens e serviços",263403
"201903","Exportação de bens e serviços",278699
"201904","Exportação de bens e serviços",270890
"202001","Exportação de bens e serviços",259853
"202002","Exportação de bens e serviços",322289
"202003","Exportação de bens e serviços",334871
"202004","Exportação de bens e serviços",335037
"202101","Exportação de bens e serviços",355130
"202102","Exportação de bens e serviços",477524
"202103","Exportação de bens e serviços",454799
"202104","Exportação de bens e serviços",434716
"202201","Exportação de bens e serviços",437089
"202202","Exportação de bens e serviços",510857
"202203","Exportação de bens e serviços",538197
"202204","Exportação de bens e serviços",492575
"202301","Exportação de bens e serviços",467382
"202302","Exportação de bens e serviços",509059
"202303","Exportação de bens e serviços",495090
"202304","Exportação de bens e serviços",494914
"202401","Exportação de bens e serviços",453419
"202402","Exportação de bens e serviços",535797
"202403","Exportação de bens e serviços",562370
"202404","Exportação de bens e serviços",561444
"202501","Exportação de bens e serviços",532283
"202502","Exportação de bens e serviços",581149
"202503","Exportação de bens e serviços",580544
"202504","Exportação de bens e serviços",576128
"202601","Exportação de bens e serviços",519931
"202602","Exportação de bens e serviços",597945
"201901","Importação de bens e serviços (-)",244462
"201902","Importação de bens e serviços (-)",259391
"201903","Importação de bens e serviços (-)",300767
"201904","Importação de bens e serviços (-)",286558
"202001","Importação de bens e serviços (-)",298667
"202002","Importação de bens e serviços (-)",274297
"202003","Importação de bens e serviços (-)",283335
"202004","Importação de bens e serviços (-)",349709
"202101","Importação de bens e serviços (-)",403836
"202102","Importação de bens e serviços (-)",387992
"202103","Importação de bens e serviços (-)",412703
"202104","Importação de bens e serviços (-)",466942
"202201","Importação de bens e serviços (-)",441498
"202202","Importação de bens e serviços (-)",468975
"202203","Importação de bens e serviços (-)",537589
"202204","Importação de bens e serviços (-)",485755
"202301","Importação de bens e serviços (-)",435199
"202302","Importação de bens e serviços (-)",423307
"202303","Importação de bens e serviços (-)",426064
"202304","Importação de bens e serviços (-)",433197
"202401","Importação de bens e serviços (-)",434065
"202402","Importação de bens e serviços (-)",498373
"202403","Importação de bens e serviços (-)",571481
"202404","Importação de bens e serviços (-)",574640
"202501","Importação de bens e serviços (-)",569760
"202502","Importação de bens e serviços (-)",552741
"202503","Importação de bens e serviços (-)",577327
"202504","Importação de bens e serviços (-)",525696
"202601","Importação de bens e serviços (-)",530893
"202602","Importação de bens e serviços (-)",556418
